abr_type,hm_error_rate,overest_ratio
Chorus,0.297 (+-0.051),0.161 (+-0.037)
XLINK,0.344 (+-0.094),0.408 (+-0.022)
MinRTT,0.409 (+-0.096),0.390 (+-0.028)
MinRTT+RI,0.297 (+-0.070),0.403 (+-0.026)
SP,0.253 (+-0.076),0.421 (+-0.032)
