abr_type,avg_throughput,total_lost_ratio,session_reinject_ratio
Chorus,6.330 (+-0.948),0.004 (+-0.004),0.275 (+-0.023)
XLINK,5.919 (+-0.850),0.009 (+-0.006),0.308 (+-0.039)
