abr_type,hm_error_rate,overest_ratio
Chorus,0.290 (+-0.082),0.185 (+-0.048)
XLINK,0.271 (+-0.138),0.411 (+-0.037)
SP,0.198 (+-0.131),0.420 (+-0.028)
