abr_type,avg_throughput,total_lost_ratio,session_reinject_ratio
Chorus,85.505 (+-36.318),0.006 (+-0.002),0.081 (+-0.057)
XLINK,80.550 (+-31.252),0.006 (+-0.003),0.007 (+-0.003)
