abr_type,bitrate_sum,rebuffer_sum,qoe_sum
Chorus,1211.417 (+-4.977),0.275 (+-0.061),1190.845 (+-7.978)
XLINK,1200.500 (+-20.489),0.985 (+-1.316),1166.741 (+-44.456)
SP,1198.292 (+-14.939),1.185 (+-1.387),1157.994 (+-38.460)
