abr_type,bitrate_sum,rebuffer_sum,qoe_sum
Chorus,1190.708 (+-27.775),0.404 (+-0.248),1155.243 (+-45.853)
XLINK,1198.875 (+-21.985),1.108 (+-0.961),1161.230 (+-40.922)
SP,814.125 (+-231.930),6.494 (+-4.844),634.017 (+-236.845)
