abr_type,avg_throughput,total_lost_ratio,session_reinject_ratio
Chorus,58.120 (+-33.460),0.010 (+-0.004),0.060 (+-0.066)
XLINK,60.037 (+-38.853),0.014 (+-0.007),0.011 (+-0.004)
