abr_type,hm_error_rate,overest_ratio
Chorus,0.272 (+-0.056),0.185 (+-0.048)
XLINK,0.293 (+-0.084),0.411 (+-0.045)
SP,0.127 (+-0.091),0.380 (+-0.067)
