abr_type,bitrate_sum,rebuffer_sum,qoe_sum
Chorus,904.931 (+-145.406),16.215 (+-8.741),603.168 (+-285.573)
XLINK,913.778 (+-140.189),31.517 (+-16.653),363.963 (+-410.545)
SP,761.944 (+-149.755),26.679 (+-18.351),281.312 (+-396.487)
