abr_type,hm_error_rate,overest_ratio
Chorus,0.441 (+-0.090),0.226 (+-0.034)
XLINK,0.472 (+-0.112),0.419 (+-0.020)
SP,0.363 (+-0.131),0.402 (+-0.028)
